GMP,MLP,LMPP
MPO,ABCG2,CD34
MS4A3,SPECC1,TRPM2
ELANE,DOC2GP,PDE1A
RNASE2,SLITRK5,COBL
CTSG,C15orf39,CD47
F13A1,RUNX3,KLKB1
PRTN3,CCDC144CP,CAPSL
VPREB1,HLA-B,RNF213
MAP3K8,NEGR1,NKAIN2
NUCB2,SYN3,ADAM19
TRGC2,SOX4,ETS1
METTL7B,TRAT1,LAT2
TRGC1,MB,TARBP1
CD96,EVL,ITPK1-AS1
UHRF1,CBX4,QPRT
SELL,TUSC7,BNIP3P11
EPX,VAMP2,PWRN1
MS4A2,DUSP1,B3GAT2
TPSAB1,GFOD1,CYTIP
ANXA1,NFKBIA,OXR1
RNASE3,MALAT1,EBF1
HAL,TCF4,CLIP3
SHCBP1,CXXC5,PRAME
AREG,TSC22D1,S100A8
MUC1,TNFAIP3,NPL
CCDC181,FOSB,PROM1
TPSD1,AIF1,TRBV29-1
CP,PDE9A,PSPN
RMI2,SLC25A5-AS1,SNX10
PLD1,PIM2,RNPEPL1
CLEC12A,CXCL16,SSC4D
DEPDC7,IFNG,PADI4
LGALS1,SLC43A2,CRAT
LDHA,HIVEP3,RPL7P52
CSF3R,MAML2,KCTD9
MGST1,SON,ST3GAL5
CSTA,FAM129C,GRB2
VIM,CD6,ALOX15B
LRPPRC,CDH9,GRAMD1B
TPPP3,HOXA5,ZFP36L2
PLEK,FAM83G,PTGDR2
SUCNR1,CCDC88B,TREML1
ERAP2,IL7R,CACNB4
ASPM,LCK,KIAA1147
TCF19,TCF7,ZNF367
SERPINB1,CYFIP2,CCDC168
UBE2J1,LINC01122,ARFGAP1
ALDH4A1,AFF1,LINC01125
CALCOCO2,MN1,FAM210B
CASQ1,SPON1,MYO1G